i	left	right	log(ratio)	lval	rval
0	-1	1	0	2.1781	-0.178097
1	-0.527864	1	-0.269276	0.806175	-0.178097
2	-0.236068	1	-0.481212	0.350841	-0.178097
3	0.236068	1	-0.962424	-0.34463	-0.178097
4	0.236068	0.893876	-1.11199	-0.34463	-0.455707
5	0.236068	0.708204	-1.44364	-0.34463	-0.672761
6	0.594768	0.708204	-2.86966	-0.679707	-0.672761
7	0.641314	0.708204	-3.39785	-0.686213	-0.672761
8	0.641314	0.643219	-6.95632	-0.686213	-0.686217
9	0.641314	0.642651	-7.31042	-0.686213	-0.686218
10	0.642636	0.642651	-11.7696	-0.686218	-0.686218
11	0.642636	0.642651	-11.7868	-0.686218	-0.686218
12	0.642636	0.642645	-12.265	-0.686218	-0.686218
13	0.642636	0.642642	-12.7413	-0.686218	-0.686218
14	0.642636	0.642639	-13.2147	-0.686218	-0.686218
15	0.642636	0.642638	-13.6834	-0.686218	-0.686218
16	0.642636	0.642637	-14.1447	-0.686218	-0.686218
17	0.642636	0.642637	-14.5945	-0.686218	-0.686218
18	0.642636	0.642636	-15.027	-0.686218	-0.686218
19	0.642636	0.642636	-15.4339	-0.686218	-0.686218
20	0.642636	0.642636	-15.8056	-0.686218	-0.686218
