i	left	right	log(ratio)	lval	rval
0	-1	1	0	2.1781	-0.178097
1	-5e-08	1	-0.693147	7.5e-08	-0.178097
2	0.5	1	-1.38629	-0.632971	-0.178097
3	0.5	0.75	-2.07944	-0.632971	-0.648845
4	0.625	0.75	-2.77259	-0.685311	-0.648845
5	0.625	0.6875	-3.46573	-0.685311	-0.680027
6	0.625	0.65625	-4.15888	-0.685311	-0.685663
7	0.640625	0.65625	-4.85202	-0.686206	-0.685663
8	0.640625	0.648438	-5.54516	-0.686206	-0.686118
9	0.640625	0.644531	-6.2383	-0.686206	-0.686207
10	0.642578	0.644531	-6.93142	-0.686218	-0.686207
11	0.642578	0.643555	-7.62452	-0.686218	-0.686216
12	0.642578	0.643066	-8.31756	-0.686218	-0.686218
13	0.642578	0.642822	-9.0105	-0.686218	-0.686218
14	0.642578	0.6427	-9.70324	-0.686218	-0.686218
15	0.642578	0.642639	-10.3956	-0.686218	-0.686218
16	0.642609	0.642639	-11.0871	-0.686218	-0.686218
17	0.642624	0.642639	-11.777	-0.686218	-0.686218
18	0.642631	0.642639	-12.4636	-0.686218	-0.686218
19	0.642635	0.642639	-13.1439	-0.686218	-0.686218
20	0.642635	0.642637	-13.8118	-0.686218	-0.686218
21	0.642635	0.642636	-14.4564	-0.686218	-0.686218
22	0.642636	0.642636	-15.0589	-0.686218	-0.686218
23	0.642636	0.642636	-15.5921	-0.686218	-0.686218
24	0.642636	0.642636	-16.0264	-0.686218	-0.686218
