epsilon	brent	dichotomy	fibonacci	golden-section	parabolic
-15.2492	13	23	34	34	17
-14.5561	12	22	33	32	16
-13.8629	11	21	31	31	16
-13.1698	11	20	30	29	15
-12.4766	10	19	29	28	14
-11.7835	9	18	27	26	13
-11.0904	10	17	26	25	12
-10.3972	13	16	24	24	12
-9.70406	8	15	23	22	11
-9.01091	11	14	21	21	10
-8.31777	10	13	20	19	9
-7.62462	10	12	18	18	8
-6.93147	9	11	17	16	7
-6.23832	8	10	16	15	7
-5.54518	7	9	14	13	6
-4.85203	6	8	13	12	5
-4.15888	7	7	11	11	4
-3.46574	6	6	10	9	3
-2.77259	5	5	8	8	3
-2.07944	4	4	7	6	2
-1.38629	3	3	6	5	2
-0.693147	2	2	4	3	2
