i	left	right	log(ratio)	lval	rval
0	-1	1	0	2.1781	-0.178097
1	0.423198	1	-1.2434	-0.56844	-0.178097
2	0.5	1	-1.38629	-0.632971	-0.178097
3	0.600072	1	-1.60962	-0.681046	-0.178097
4	0.619139	1	-1.65847	-0.684616	-0.178097
5	0.634281	1	-1.69904	-0.686013	-0.178097
6	0.638571	1	-1.71084	-0.686169	-0.178097
7	0.64105	1	-1.71772	-0.686211	-0.178097
8	0.641913	1	-1.72013	-0.686217	-0.178097
9	0.642341	1	-1.72132	-0.686218	-0.178097
10	0.642506	1	-1.72178	-0.686218	-0.178097
11	0.642581	1	-1.722	-0.686218	-0.178097
12	0.642612	1	-1.72208	-0.686218	-0.178097
13	0.642626	1	-1.72212	-0.686218	-0.178097
14	0.642632	1	-1.72214	-0.686218	-0.178097
15	0.642634	1	-1.72214	-0.686218	-0.178097
16	0.642635	1	-1.72215	-0.686218	-0.178097
17	0.642636	1	-1.72215	-0.686218	-0.178097
