i	brent	dichotomy	fibonacci	golden-section	parabolic
0	0	0	0	0	0
1	-0.481212	-0.693147	-0.481212	-0.481212	-1.2434
2	-0.962424	-1.38629	-0.962424	-0.962424	-1.38629
3	-1.44364	-2.07944	-1.44364	-1.44364	-1.60962
4	-2.40606	-2.77259	-1.92485	-1.92485	-1.65847
5	-2.80508	-3.46573	-2.40606	-2.40606	-1.69904
6	-5.33519	-4.15888	-2.88727	-2.88727	-1.71084
7	-6.35577	-4.85202	-3.36848	-3.36848	-1.71772
8	-10.167	-5.54516	-3.84969	-3.84969	-1.72013
9	-10.2898	-6.2383	-4.33091	-4.33091	-1.72132
10	nan	-6.93142	-4.81212	-4.81212	-1.72178
11	nan	-7.62452	-5.29333	-5.29333	-1.722
12	nan	-8.31756	-5.77454	-5.77454	-1.72208
13	nan	-9.0105	-6.25575	-6.25575	-1.72212
14	nan	-9.70324	-6.73697	-6.73697	-1.72214
15	nan	-10.3956	-7.21818	-7.21818	-1.72214
16	nan	-11.0871	-7.69939	-7.69939	-1.72215
17	nan	-11.777	-8.1806	-8.1806	-1.72215
18	nan	-12.4636	-8.66181	-8.66181	nan
19	nan	-13.1439	-9.14302	-9.14302	nan
20	nan	-13.8118	-9.62424	-9.62424	nan
21	nan	-14.4564	-10.1054	-10.1054	nan
22	nan	-15.0589	-10.5867	-10.5867	nan
23	nan	-15.5921	-11.0679	-11.0679	nan
24	nan	-16.0264	-11.5491	-11.5491	nan
25	nan	nan	-12.0303	-12.0303	nan
26	nan	nan	-12.5115	-12.5115	nan
27	nan	nan	-12.9928	-12.9927	nan
28	nan	nan	-13.4738	-13.4739	nan
29	nan	nan	-13.9556	-13.9551	nan
30	nan	nan	-14.4352	-14.4364	nan
31	nan	nan	-14.9207	-14.9176	nan
32	nan	nan	-15.3907	-15.3988	nan
33	nan	nan	-15.9015	-15.88	nan
34	nan	nan	-16.307	-16.3612	nan
